gene_id contig start end strand n_transcripts total_exons_length first_transcript other_transcripts
XLOC_002360 IDBA_scaffold_23764 341 2355 . 1 2015 TCONS_00003887 NA
XLOC_002361 IDBA_scaffold_23768 433 2117 - 1 293 TCONS_00003888 NA
XLOC_002362 IDBA_scaffold_23777 1614 2360 . 1 747 TCONS_00003889 NA
XLOC_002363 IDBA_scaffold_23797 1629 2090 . 1 462 TCONS_00003890 NA
XLOC_002364 IDBA_scaffold_23799 1180 2393 . 1 1214 TCONS_00003891 NA
XLOC_002365 IDBA_scaffold_23802 3164 3318 . 1 155 TCONS_00003892 NA
XLOC_002366 IDBA_scaffold_23816 241 1581 + 5 1107 TCONS_00003893 TCONS_00003895;TCONS_00003894;TCONS_00003896;TCONS_00003897
XLOC_002367 IDBA_scaffold_23820 10 2657 . 1 2648 TCONS_00003898 NA
XLOC_002368 IDBA_scaffold_23823 4 2384 . 1 2381 TCONS_00003899 NA
XLOC_002369 IDBA_scaffold_23825 1 2419 + 1 1093 TCONS_00003900 NA
XLOC_002370 IDBA_scaffold_23830 2247 2707 . 1 461 TCONS_00003901 NA
XLOC_002371 IDBA_scaffold_23838 1157 2872 + 1 1484 TCONS_00003902 NA
XLOC_002372 IDBA_scaffold_23849 37 2416 - 2 2380 TCONS_00003903 TCONS_00003904
XLOC_002373 IDBA_scaffold_23876 26 2413 . 1 2388 TCONS_00003905 NA
XLOC_002374 IDBA_scaffold_23884 3 1998 . 1 1996 TCONS_00003906 NA
XLOC_002375 IDBA_scaffold_23888 367 2954 . 1 2588 TCONS_00003907 NA
XLOC_002376 IDBA_scaffold_23895 2 384 . 1 383 TCONS_00003908 NA
XLOC_002377 IDBA_scaffold_23897 279 1444 . 1 1166 TCONS_00003909 NA
XLOC_002378 IDBA_scaffold_239 38258 41408 + 2 2430 TCONS_00003910 TCONS_00003911
XLOC_002379 IDBA_scaffold_239 36619 37905 - 2 863 TCONS_00003912 TCONS_00003913
XLOC_002380 IDBA_scaffold_2391 1849 12879 - 3 2977 TCONS_00003915 TCONS_00003914;TCONS_00003916
XLOC_002381 IDBA_scaffold_2391 35 1553 . 1 1519 TCONS_00003917 NA
XLOC_002382 IDBA_scaffold_2394 18584 25723 + 2 4359 TCONS_00003918 TCONS_00003919
XLOC_002383 IDBA_scaffold_2394 18740 20657 - 1 678 TCONS_00003920 NA
XLOC_002384 IDBA_scaffold_2394 24902 27130 - 2 1087 TCONS_00003921 TCONS_00003922
XLOC_002385 IDBA_scaffold_23951 604 1057 . 1 454 TCONS_00003923 NA
XLOC_002386 IDBA_scaffold_23974 2093 3515 + 1 1351 TCONS_00003924 NA
XLOC_002387 IDBA_scaffold_23982 1983 2841 . 1 859 TCONS_00003925 NA
XLOC_002388 IDBA_scaffold_23989 1 3266 . 1 3266 TCONS_00003926 NA
XLOC_002389 IDBA_scaffold_23990 440 2396 . 1 1957 TCONS_00003927 NA
XLOC_002390 IDBA_scaffold_24015 88 1551 . 1 1464 TCONS_00003928 NA
XLOC_002391 IDBA_scaffold_24034 103 481 . 1 379 TCONS_00003929 NA
XLOC_002392 IDBA_scaffold_24037 635 2075 . 1 1441 TCONS_00003930 NA
XLOC_002393 IDBA_scaffold_24047 179 2227 - 1 746 TCONS_00003931 NA
XLOC_002394 IDBA_scaffold_2405 10478 10973 . 1 496 TCONS_00003932 NA
XLOC_002395 IDBA_scaffold_24057 11 925 . 1 915 TCONS_00003933 NA
XLOC_002396 IDBA_scaffold_2408 1389 5144 . 1 3756 TCONS_00003934 NA
XLOC_002397 IDBA_scaffold_2408 6941 9565 . 1 2625 TCONS_00003935 NA
XLOC_002398 IDBA_scaffold_24087 1479 2075 + 2 461 TCONS_00003936 TCONS_00003937
XLOC_002399 IDBA_scaffold_24091 328 2298 + 1 1220 TCONS_00003938 NA
XLOC_002400 IDBA_scaffold_2410 3356 7411 + 1 1644 TCONS_00003939 NA
XLOC_002401 IDBA_scaffold_2410 12634 16561 - 1 1721 TCONS_00003940 NA
XLOC_002402 IDBA_scaffold_24113 161 2939 . 1 2779 TCONS_00003941 NA
XLOC_002403 IDBA_scaffold_24116 2134 2464 . 1 331 TCONS_00003942 NA
XLOC_002404 IDBA_scaffold_24124 938 1972 . 1 1035 TCONS_00003943 NA
XLOC_002405 IDBA_scaffold_2413 768 1821 - 1 900 TCONS_00003944 NA
XLOC_002406 IDBA_scaffold_2413 14546 15426 - 1 465 TCONS_00003945 NA
XLOC_002407 IDBA_scaffold_24132 206 893 - 1 558 TCONS_00003946 NA
XLOC_002408 IDBA_scaffold_24134 12 1200 . 1 1189 TCONS_00003947 NA
XLOC_002409 IDBA_scaffold_24144 936 2347 - 2 1322 TCONS_00003948 TCONS_00003949
XLOC_002410 IDBA_scaffold_24161 604 1324 . 1 721 TCONS_00003950 NA
XLOC_002411 IDBA_scaffold_24171 2007 2770 . 1 764 TCONS_00003951 NA
XLOC_002412 IDBA_scaffold_24181 1330 2334 . 1 1005 TCONS_00003952 NA
XLOC_002413 IDBA_scaffold_24208 535 890 . 1 356 TCONS_00003953 NA
XLOC_002414 IDBA_scaffold_24223 1517 2024 . 1 508 TCONS_00003954 NA
XLOC_002415 IDBA_scaffold_24224 1 1602 . 1 1602 TCONS_00003955 NA
XLOC_002416 IDBA_scaffold_24237 20 933 . 1 914 TCONS_00003956 NA
XLOC_002417 IDBA_scaffold_24244 615 1892 . 1 1278 TCONS_00003957 NA
XLOC_002418 IDBA_scaffold_24251 681 2267 - 2 431 TCONS_00003958 TCONS_00003959
XLOC_002419 IDBA_scaffold_24261 2134 2810 . 1 677 TCONS_00003960 NA
XLOC_002420 IDBA_scaffold_24261 3059 5036 . 1 1978 TCONS_00003961 NA
XLOC_002421 IDBA_scaffold_24278 1165 1972 + 1 201 TCONS_00003962 NA
XLOC_002422 IDBA_scaffold_2428 12729 18552 + 2 1592 TCONS_00003963 TCONS_00003964
XLOC_002423 IDBA_scaffold_24293 290 2325 . 1 2036 TCONS_00003965 NA
XLOC_002424 IDBA_scaffold_24303 130 2353 - 1 1894 TCONS_00003966 NA
XLOC_002425 IDBA_scaffold_24350 4 2323 . 1 2320 TCONS_00003967 NA
XLOC_002426 IDBA_scaffold_24358 613 3262 + 1 2484 TCONS_00003968 NA
XLOC_002427 IDBA_scaffold_24358 1502 3502 - 2 1750 TCONS_00003970 TCONS_00003969
XLOC_002428 IDBA_scaffold_2436 4534 12947 + 1 3870 TCONS_00003971 NA
XLOC_002429 IDBA_scaffold_2436 943 4308 - 2 1755 TCONS_00003973 TCONS_00003972
XLOC_002430 IDBA_scaffold_2436 9 305 . 1 297 TCONS_00003974 NA
XLOC_002431 IDBA_scaffold_24372 12 1039 . 1 1028 TCONS_00003975 NA
XLOC_002432 IDBA_scaffold_24376 60 1272 . 1 1213 TCONS_00003976 NA
XLOC_002433 IDBA_scaffold_24387 944 1917 + 1 754 TCONS_00003977 NA
XLOC_002434 IDBA_scaffold_2439 7778 12830 + 1 1894 TCONS_00003978 NA
XLOC_002435 IDBA_scaffold_2439 857 7173 - 2 2150 TCONS_00003980 TCONS_00003979
XLOC_002436 IDBA_scaffold_24399 319 2341 + 1 1777 TCONS_00003981 NA
XLOC_002437 IDBA_scaffold_24430 19 1363 + 1 1169 TCONS_00003982 NA
XLOC_002438 IDBA_scaffold_24437 2 905 . 1 904 TCONS_00003983 NA
XLOC_002439 IDBA_scaffold_24437 981 1502 . 1 522 TCONS_00003984 NA
XLOC_002440 IDBA_scaffold_2445 7492 9261 + 2 1114 TCONS_00003986 TCONS_00003985
XLOC_002441 IDBA_scaffold_24457 3 918 . 1 916 TCONS_00003987 NA
XLOC_002442 IDBA_scaffold_24494 10 2329 - 3 2193 TCONS_00003990 TCONS_00003989;TCONS_00003988
XLOC_002443 IDBA_scaffold_24501 524 1724 . 1 1201 TCONS_00003991 NA
XLOC_002444 IDBA_scaffold_24501 2086 3295 . 1 1210 TCONS_00003992 NA
XLOC_002445 IDBA_scaffold_24521 36 647 . 1 612 TCONS_00003993 NA
XLOC_002446 IDBA_scaffold_24541 70 1186 + 1 854 TCONS_00003994 NA
XLOC_002447 IDBA_scaffold_24544 529 961 . 1 433 TCONS_00003995 NA
XLOC_002448 IDBA_scaffold_24551 2618 3749 . 1 1132 TCONS_00003996 NA
XLOC_002449 IDBA_scaffold_2456 8961 12528 + 2 1877 TCONS_00003998 TCONS_00003997
XLOC_002450 IDBA_scaffold_2456 3174 9305 - 2 4683 TCONS_00003999 TCONS_00004000
XLOC_002451 IDBA_scaffold_2456 12749 13415 . 1 667 TCONS_00004001 NA
XLOC_002452 IDBA_scaffold_24578 440 2593 . 1 2154 TCONS_00004002 NA
XLOC_002453 IDBA_scaffold_2459 1454 4195 . 1 2742 TCONS_00004003 NA
XLOC_002454 IDBA_scaffold_2459 11022 12442 . 1 1421 TCONS_00004004 NA
XLOC_002455 IDBA_scaffold_24603 1480 2741 - 1 418 TCONS_00004005 NA
XLOC_002456 IDBA_scaffold_2462 3291 14304 + 1 4482 TCONS_00004006 NA
XLOC_002457 IDBA_scaffold_24622 36 2311 . 1 2276 TCONS_00004007 NA
XLOC_002458 IDBA_scaffold_24649 247 1126 . 1 880 TCONS_00004008 NA
XLOC_002459 IDBA_scaffold_24681 1092 2295 . 1 1204 TCONS_00004009 NA
XLOC_002460 IDBA_scaffold_24710 1079 1580 . 1 502 TCONS_00004010 NA
XLOC_002461 IDBA_scaffold_24710 1964 3242 . 1 1279 TCONS_00004011 NA
XLOC_002462 IDBA_scaffold_24718 1 2154 . 1 2154 TCONS_00004012 NA
XLOC_002463 IDBA_scaffold_2472 6625 12047 + 3 1843 TCONS_00004015 TCONS_00004014;TCONS_00004013
XLOC_002464 IDBA_scaffold_2472 612 1004 - 1 268 TCONS_00004016 NA
XLOC_002465 IDBA_scaffold_2472 1963 5442 - 3 1934 TCONS_00004017 TCONS_00004018;TCONS_00004019
XLOC_002466 IDBA_scaffold_2475 2088 3371 . 1 1284 TCONS_00004020 NA
XLOC_002467 IDBA_scaffold_24755 2172 3287 . 1 1116 TCONS_00004021 NA
XLOC_002468 IDBA_scaffold_24767 1786 2403 . 1 618 TCONS_00004022 NA
XLOC_002469 IDBA_scaffold_24778 452 2002 . 1 1551 TCONS_00004023 NA
XLOC_002470 IDBA_scaffold_2478 6905 8330 + 1 706 TCONS_00004024 NA
XLOC_002471 IDBA_scaffold_2478 11014 12061 + 1 529 TCONS_00004025 NA
XLOC_002472 IDBA_scaffold_2478 12367 22235 + 1 2750 TCONS_00004026 NA
XLOC_002473 IDBA_scaffold_2478 8828 12313 - 2 1963 TCONS_00004028 TCONS_00004027
XLOC_002474 IDBA_scaffold_2478 22867 25317 - 1 1175 TCONS_00004029 NA
XLOC_002475 IDBA_scaffold_2479 250 13028 - 5 4932 TCONS_00004030 TCONS_00004031;TCONS_00004032;TCONS_00004033;TCONS_00004034
XLOC_002476 IDBA_scaffold_2479 2901 3654 . 1 754 TCONS_00004035 NA
XLOC_002477 IDBA_scaffold_24823 813 1430 . 1 618 TCONS_00004036 NA
XLOC_002478 IDBA_scaffold_24823 1757 2954 . 1 1198 TCONS_00004037 NA
XLOC_002479 IDBA_scaffold_24855 1248 2103 . 1 856 TCONS_00004038 NA
XLOC_002480 IDBA_scaffold_2487 507 4914 + 3 1622 TCONS_00004039 TCONS_00004040;TCONS_00004041
XLOC_002481 IDBA_scaffold_24870 151 2278 . 1 2128 TCONS_00004042 NA
XLOC_002482 IDBA_scaffold_24876 4 1544 . 1 1541 TCONS_00004043 NA
XLOC_002483 IDBA_scaffold_24894 201 2276 . 1 2076 TCONS_00004044 NA
XLOC_002484 IDBA_scaffold_24908 1158 2152 . 1 995 TCONS_00004045 NA
XLOC_002485 IDBA_scaffold_2491 781 7284 - 2 4882 TCONS_00004046 TCONS_00004047
XLOC_002486 IDBA_scaffold_24917 399 965 + 1 412 TCONS_00004048 NA
XLOC_002487 IDBA_scaffold_24927 501 1750 . 1 1250 TCONS_00004049 NA
XLOC_002488 IDBA_scaffold_24929 1936 3538 . 1 1603 TCONS_00004050 NA
XLOC_002489 IDBA_scaffold_24944 353 1804 . 1 1452 TCONS_00004051 NA
XLOC_002490 IDBA_scaffold_24955 403 1795 - 1 590 TCONS_00004052 NA
XLOC_002491 IDBA_scaffold_24967 4 620 - 1 428 TCONS_00004053 NA
XLOC_002492 IDBA_scaffold_24989 19 455 . 1 437 TCONS_00004054 NA
XLOC_002493 IDBA_scaffold_24991 410 1284 + 1 401 TCONS_00004055 NA
XLOC_002494 IDBA_scaffold_25004 1481 2261 . 1 781 TCONS_00004056 NA
XLOC_002495 IDBA_scaffold_25032 72 2646 + 4 1962 TCONS_00004059 TCONS_00004058;TCONS_00004057;TCONS_00004060
XLOC_002496 IDBA_scaffold_25037 798 1449 . 1 652 TCONS_00004061 NA
XLOC_002497 IDBA_scaffold_25037 1724 3676 . 1 1953 TCONS_00004062 NA
XLOC_002498 IDBA_scaffold_25043 2304 3166 . 1 863 TCONS_00004063 NA
XLOC_002499 IDBA_scaffold_25046 1140 2257 - 1 748 TCONS_00004064 NA
XLOC_002500 IDBA_scaffold_2505 3186 11909 - 2 6188 TCONS_00004066 TCONS_00004065
XLOC_002501 IDBA_scaffold_2506 1990 14520 + 2 2989 TCONS_00004067 TCONS_00004068
XLOC_002502 IDBA_scaffold_25080 1734 2093 . 1 360 TCONS_00004069 NA
XLOC_002503 IDBA_scaffold_251 32367 36416 - 1 3893 TCONS_00004070 NA
XLOC_002504 IDBA_scaffold_2510 1 180 . 1 180 TCONS_00004071 NA
XLOC_002505 IDBA_scaffold_25107 3967 5509 . 1 1543 TCONS_00004072 NA
XLOC_002506 IDBA_scaffold_2511 2947 8111 + 1 4698 TCONS_00004073 NA
XLOC_002507 IDBA_scaffold_2511 5408 10777 - 2 3491 TCONS_00004074 TCONS_00004075
XLOC_002508 IDBA_scaffold_25114 1605 2249 . 1 645 TCONS_00004076 NA
XLOC_002509 IDBA_scaffold_25121 2268 2543 . 1 276 TCONS_00004077 NA
XLOC_002510 IDBA_scaffold_25144 1695 2266 . 1 572 TCONS_00004078 NA
XLOC_002511 IDBA_scaffold_25146 192 751 . 1 560 TCONS_00004079 NA
XLOC_002512 IDBA_scaffold_25146 1097 2124 . 1 1028 TCONS_00004080 NA
XLOC_002513 IDBA_scaffold_25149 117 941 . 1 825 TCONS_00004081 NA
XLOC_002514 IDBA_scaffold_25154 1168 2234 . 1 1067 TCONS_00004082 NA
XLOC_002515 IDBA_scaffold_25159 1 985 . 1 985 TCONS_00004083 NA
XLOC_002516 IDBA_scaffold_2517 8191 13126 - 3 1877 TCONS_00004084 TCONS_00004085;TCONS_00004086
XLOC_002517 IDBA_scaffold_2517 14134 16363 - 1 792 TCONS_00004087 NA
XLOC_002518 IDBA_scaffold_25177 2 459 . 1 458 TCONS_00004088 NA
XLOC_002519 IDBA_scaffold_25182 21 270 . 1 250 TCONS_00004089 NA
XLOC_002520 IDBA_scaffold_25182 696 1339 . 1 644 TCONS_00004090 NA
XLOC_002521 IDBA_scaffold_25194 2 896 - 1 519 TCONS_00004091 NA
XLOC_002522 IDBA_scaffold_25210 23 1029 . 1 1007 TCONS_00004092 NA
XLOC_002523 IDBA_scaffold_25214 5 1526 . 1 1522 TCONS_00004093 NA
XLOC_002524 IDBA_scaffold_2522 8738 11931 + 2 1040 TCONS_00004094 TCONS_00004095
XLOC_002525 IDBA_scaffold_25230 1180 2142 . 1 963 TCONS_00004096 NA
XLOC_002526 IDBA_scaffold_25257 16 2225 . 1 2210 TCONS_00004097 NA
XLOC_002527 IDBA_scaffold_25258 576 1101 . 1 526 TCONS_00004098 NA
XLOC_002528 IDBA_scaffold_25260 1261 1921 . 1 661 TCONS_00004099 NA
XLOC_002529 IDBA_scaffold_25262 1 2774 . 1 2774 TCONS_00004100 NA
XLOC_002530 IDBA_scaffold_25279 384 1990 - 1 956 TCONS_00004101 NA
XLOC_002531 IDBA_scaffold_2528 812 11927 + 1 2215 TCONS_00004102 NA
XLOC_002532 IDBA_scaffold_25305 469 1435 . 1 967 TCONS_00004103 NA
XLOC_002533 IDBA_scaffold_25305 1602 2227 . 1 626 TCONS_00004104 NA
XLOC_002534 IDBA_scaffold_25311 1480 2226 . 1 747 TCONS_00004105 NA
XLOC_002535 IDBA_scaffold_25313 1219 2492 . 1 1274 TCONS_00004106 NA
XLOC_002536 IDBA_scaffold_25340 597 1718 - 1 607 TCONS_00004107 NA
XLOC_002537 IDBA_scaffold_25352 1 2433 . 1 2433 TCONS_00004108 NA
XLOC_002538 IDBA_scaffold_25360 122 1548 - 1 1203 TCONS_00004109 NA
XLOC_002539 IDBA_scaffold_25373 2018 3581 . 1 1564 TCONS_00004110 NA
XLOC_002540 IDBA_scaffold_2538 9 312 . 1 304 TCONS_00004111 NA
XLOC_002541 IDBA_scaffold_25392 801 2105 . 1 1305 TCONS_00004112 NA
XLOC_002542 IDBA_scaffold_25393 1664 2195 . 1 532 TCONS_00004113 NA
XLOC_002543 IDBA_scaffold_2540 342 2035 . 1 1694 TCONS_00004114 NA
XLOC_002544 IDBA_scaffold_25400 1180 2724 . 1 1545 TCONS_00004115 NA
XLOC_002545 IDBA_scaffold_2541 7328 13117 . 1 5790 TCONS_00004116 NA
XLOC_002546 IDBA_scaffold_25421 2 2211 . 1 2210 TCONS_00004117 NA
XLOC_002547 IDBA_scaffold_2543 523 8070 + 3 2892 TCONS_00004119 TCONS_00004118;TCONS_00004120
XLOC_002548 IDBA_scaffold_2543 22 1366 - 1 1173 TCONS_00004121 NA
XLOC_002549 IDBA_scaffold_25432 4 248 . 1 245 TCONS_00004122 NA
XLOC_002550 IDBA_scaffold_25445 3111 3549 . 1 439 TCONS_00004123 NA
XLOC_002551 IDBA_scaffold_25467 1774 2206 . 1 433 TCONS_00004124 NA
XLOC_002552 IDBA_scaffold_25479 205 987 . 1 783 TCONS_00004125 NA
XLOC_002553 IDBA_scaffold_25498 1387 2202 - 1 656 TCONS_00004126 NA
XLOC_002554 IDBA_scaffold_25504 1617 2200 . 1 584 TCONS_00004127 NA
XLOC_002555 IDBA_scaffold_25517 1 4772 - 4 3190 TCONS_00004130 TCONS_00004129;TCONS_00004128;TCONS_00004131
XLOC_002556 IDBA_scaffold_2552 3893 13082 . 1 9190 TCONS_00004132 NA
XLOC_002557 IDBA_scaffold_25536 994 1615 - 1 338 TCONS_00004133 NA
XLOC_002558 IDBA_scaffold_25550 1507 1832 . 1 326 TCONS_00004134 NA
XLOC_002559 IDBA_scaffold_25566 308 1624 + 1 616 TCONS_00004135 NA
XLOC_002560 IDBA_scaffold_2557 3678 11957 - 3 1863 TCONS_00004136 TCONS_00004138;TCONS_00004137
XLOC_002561 IDBA_scaffold_25576 1332 2088 . 1 757 TCONS_00004139 NA
XLOC_002562 IDBA_scaffold_25588 332 2179 . 1 1848 TCONS_00004140 NA
XLOC_002563 IDBA_scaffold_2560 6771 13565 + 2 6317 TCONS_00004141 TCONS_00004142
XLOC_002564 IDBA_scaffold_2560 6944 9160 - 1 2046 TCONS_00004143 NA
XLOC_002565 IDBA_scaffold_2563 11867 12462 . 1 596 TCONS_00004144 NA
XLOC_002566 IDBA_scaffold_25653 2 2178 . 1 2177 TCONS_00004145 NA
XLOC_002567 IDBA_scaffold_25661 9 1146 . 1 1138 TCONS_00004146 NA
XLOC_002568 IDBA_scaffold_25678 93 831 . 1 739 TCONS_00004147 NA
XLOC_002569 IDBA_scaffold_25682 6 4708 - 2 4703 TCONS_00004148 TCONS_00004149
XLOC_002570 IDBA_scaffold_25705 726 1698 + 1 322 TCONS_00004150 NA
XLOC_002571 IDBA_scaffold_25726 887 3677 - 1 915 TCONS_00004151 NA
XLOC_002572 IDBA_scaffold_25730 813 1859 . 1 1047 TCONS_00004152 NA
XLOC_002573 IDBA_scaffold_2574 12 4939 . 1 4928 TCONS_00004153 NA
XLOC_002574 IDBA_scaffold_2574 5015 7024 . 1 2010 TCONS_00004154 NA
XLOC_002575 IDBA_scaffold_2574 7228 14421 . 1 7194 TCONS_00004155 NA
XLOC_002576 IDBA_scaffold_2574 14785 16009 . 1 1225 TCONS_00004156 NA
XLOC_002577 IDBA_scaffold_2574 16126 16899 . 1 774 TCONS_00004157 NA
XLOC_002578 IDBA_scaffold_25792 1291 2074 . 1 784 TCONS_00004158 NA
XLOC_002579 IDBA_scaffold_25843 2924 3373 . 1 450 TCONS_00004159 NA
XLOC_002580 IDBA_scaffold_25845 754 2140 . 1 1387 TCONS_00004160 NA
XLOC_002581 IDBA_scaffold_25854 1 1137 . 1 1137 TCONS_00004161 NA
XLOC_002582 IDBA_scaffold_25864 602 3207 - 2 1160 TCONS_00004163 TCONS_00004162
XLOC_002583 IDBA_scaffold_25887 389 822 . 1 434 TCONS_00004164 NA
XLOC_002584 IDBA_scaffold_2589 1668 1946 . 1 279 TCONS_00004165 NA
XLOC_002585 IDBA_scaffold_25893 2 2151 . 1 2150 TCONS_00004166 NA
XLOC_002586 IDBA_scaffold_25902 6 2363 - 1 379 TCONS_00004167 NA
XLOC_002587 IDBA_scaffold_2591 2215 7923 - 7 3575 TCONS_00004168 TCONS_00004171;TCONS_00004170;TCONS_00004169;TCONS_00004173;TCONS_00004172;TCONS_00004174
XLOC_002588 IDBA_scaffold_2591 43 2080 . 1 2038 TCONS_00004175 NA
XLOC_002589 IDBA_scaffold_25917 573 1832 . 1 1260 TCONS_00004176 NA
XLOC_002590 IDBA_scaffold_25921 256 3684 . 1 3429 TCONS_00004177 NA
XLOC_002591 IDBA_scaffold_25928 216 1796 - 3 1390 TCONS_00004178 TCONS_00004179;TCONS_00004180
XLOC_002592 IDBA_scaffold_25935 982 2094 . 1 1113 TCONS_00004181 NA
XLOC_002593 IDBA_scaffold_25936 841 3100 + 5 492 TCONS_00004182 TCONS_00004183;TCONS_00004185;TCONS_00004184;TCONS_00004186
XLOC_002594 IDBA_scaffold_25937 12 901 . 1 890 TCONS_00004187 NA
XLOC_002595 IDBA_scaffold_25944 1380 1929 . 1 550 TCONS_00004188 NA
XLOC_002596 IDBA_scaffold_25953 3 2521 . 1 2519 TCONS_00004189 NA
XLOC_002597 IDBA_scaffold_25957 182 851 . 1 670 TCONS_00004190 NA
XLOC_002598 IDBA_scaffold_25963 1123 2112 . 1 990 TCONS_00004191 NA
XLOC_002599 IDBA_scaffold_25977 608 1853 . 1 1246 TCONS_00004192 NA
XLOC_002600 IDBA_scaffold_25983 3542 4295 . 1 754 TCONS_00004193 NA
XLOC_002601 IDBA_scaffold_260 3 5340 + 4 4634 TCONS_00004195 TCONS_00004194;TCONS_00004196;TCONS_00004197
XLOC_002602 IDBA_scaffold_260 23200 31904 + 7 3225 TCONS_00004198 TCONS_00004199;TCONS_00004200;TCONS_00004201;TCONS_00004202;TCONS_00004203;TCONS_00004204
XLOC_002603 IDBA_scaffold_260 32820 39953 + 1 5281 TCONS_00004205 NA
XLOC_002604 IDBA_scaffold_260 14944 23112 - 2 2223 TCONS_00004207 TCONS_00004206
XLOC_002605 IDBA_scaffold_260 25949 29152 - 1 1128 TCONS_00004208 NA
XLOC_002606 IDBA_scaffold_260 33727 42960 - 6 7020 TCONS_00004209 TCONS_00004210;TCONS_00004211;TCONS_00004213;TCONS_00004212;TCONS_00004214
XLOC_002607 IDBA_scaffold_260 43414 57802 - 4 7415 TCONS_00004215 TCONS_00004216;TCONS_00004217;TCONS_00004218
XLOC_002608 IDBA_scaffold_2600 78 13296 + 8 10418 TCONS_00004220 TCONS_00004219;TCONS_00004221;TCONS_00004223;TCONS_00004222;TCONS_00004224;TCONS_00004225;TCONS_00004226
XLOC_002609 IDBA_scaffold_2600 9528 13296 - 2 3554 TCONS_00004227 TCONS_00004228
XLOC_002610 IDBA_scaffold_26008 445 978 . 1 534 TCONS_00004229 NA
XLOC_002611 IDBA_scaffold_26022 618 2023 - 1 692 TCONS_00004230 NA
XLOC_002612 IDBA_scaffold_26040 16 1609 . 1 1594 TCONS_00004231 NA
XLOC_002613 IDBA_scaffold_2605 3505 12139 + 1 771 TCONS_00004232 NA
XLOC_002614 IDBA_scaffold_26051 1396 2710 + 2 1254 TCONS_00004233 TCONS_00004234
XLOC_002615 IDBA_scaffold_2606 3852 8870 - 4 3498 TCONS_00004235 TCONS_00004236;TCONS_00004237;TCONS_00004238
XLOC_002616 IDBA_scaffold_2606 10896 12776 . 1 1881 TCONS_00004239 NA
XLOC_002617 IDBA_scaffold_2608 10694 13837 - 2 2296 TCONS_00004240 TCONS_00004241
XLOC_002618 IDBA_scaffold_2608 13915 14491 . 1 577 TCONS_00004242 NA
XLOC_002619 IDBA_scaffold_261 6099 10525 + 3 2234 TCONS_00004243 TCONS_00004244;TCONS_00004245
XLOC_002620 IDBA_scaffold_261 13459 28182 - 4 1055 TCONS_00004246 TCONS_00004247;TCONS_00004248;TCONS_00004249
XLOC_002621 IDBA_scaffold_26118 957 2828 - 1 838 TCONS_00004250 NA
XLOC_002622 IDBA_scaffold_26120 77 2125 . 1 2049 TCONS_00004251 NA
XLOC_002623 IDBA_scaffold_26138 395 1178 . 1 784 TCONS_00004252 NA
XLOC_002624 IDBA_scaffold_26158 315 1017 . 1 703 TCONS_00004253 NA
XLOC_002625 IDBA_scaffold_26162 495 1663 - 1 606 TCONS_00004254 NA
XLOC_002626 IDBA_scaffold_26164 5 136 . 1 132 TCONS_00004255 NA
XLOC_002627 IDBA_scaffold_2617 8852 10902 . 1 2051 TCONS_00004256 NA
XLOC_002628 IDBA_scaffold_26185 16 2832 - 5 1724 TCONS_00004257 TCONS_00004261;TCONS_00004260;TCONS_00004259;TCONS_00004258
XLOC_002629 IDBA_scaffold_2620 85 1174 + 4 1090 TCONS_00004262 TCONS_00004263;TCONS_00004264;TCONS_00004265
XLOC_002630 IDBA_scaffold_26207 345 1105 + 1 296 TCONS_00004266 NA
XLOC_002631 IDBA_scaffold_2621 92 20523 + 4 4536 TCONS_00004268 TCONS_00004267;TCONS_00004269;TCONS_00004270
XLOC_002632 IDBA_scaffold_2621 17309 21209 - 5 3001 TCONS_00004271 TCONS_00004272;TCONS_00004273;TCONS_00004274;TCONS_00004275
XLOC_002633 IDBA_scaffold_26224 16 1347 . 1 1332 TCONS_00004276 NA
XLOC_002634 IDBA_scaffold_26234 678 1437 . 1 760 TCONS_00004277 NA
XLOC_002635 IDBA_scaffold_26238 1509 2090 . 1 582 TCONS_00004278 NA
XLOC_002636 IDBA_scaffold_26260 51 590 . 1 540 TCONS_00004279 NA
XLOC_002637 IDBA_scaffold_26260 1341 2016 . 1 676 TCONS_00004280 NA
XLOC_002638 IDBA_scaffold_26264 1697 2231 . 1 535 TCONS_00004281 NA
XLOC_002639 IDBA_scaffold_26266 3 653 . 1 651 TCONS_00004282 NA
XLOC_002640 IDBA_scaffold_26266 771 2091 . 1 1321 TCONS_00004283 NA
XLOC_002641 IDBA_scaffold_2629 759 9287 + 3 3170 TCONS_00004284 TCONS_00004285;TCONS_00004286
XLOC_002642 IDBA_scaffold_26292 2158 2560 . 1 403 TCONS_00004287 NA
XLOC_002643 IDBA_scaffold_2632 131 7861 - 3 3900 TCONS_00004290 TCONS_00004289;TCONS_00004288
XLOC_002644 IDBA_scaffold_26333 92 1462 . 1 1371 TCONS_00004291 NA
XLOC_002645 IDBA_scaffold_2636 2917 3946 . 1 1030 TCONS_00004292 NA
XLOC_002646 IDBA_scaffold_26377 4 2163 . 1 2160 TCONS_00004293 NA
XLOC_002647 IDBA_scaffold_26383 415 2090 . 1 1676 TCONS_00004294 NA
XLOC_002648 IDBA_scaffold_26391 346 775 - 2 244 TCONS_00004296 TCONS_00004295
XLOC_002649 IDBA_scaffold_2640 3355 5130 . 1 1776 TCONS_00004297 NA
